"","id_men","id_pers","id_depl","heuredep","mindep","heurearr","minarr","D12","motifor","NB_velo","VP_DISPO","duree","motifor1","deptime","arrtime","midtime","heuremid","nb_veh","cluster","rhour"
"20725",502076,502076002,5020760023,13,22,13,25,174,53,1,2,3,"LEI",2024-02-01 13:22:00,2024-02-01 13:25:00,2024-02-01 13:23:30,13,3,"1",0
"20726",502076,502076002,5020760024,13,30,13,45,2822,33,1,2,15,"SHO",2024-02-01 13:30:00,2024-02-01 13:45:00,2024-02-01 13:37:30,13,3,"1",0
"20727",502076,502076002,5020760025,18,0,18,45,19357,11,1,2,45,"DOM",2024-02-01 18:00:00,2024-02-01 18:45:00,2024-02-01 18:22:30,18,3,"1",1
"20728",502076,502076002,5020760025,18,0,18,45,19357,11,1,2,45,"DOM",2024-02-01 18:00:00,2024-02-01 18:45:00,2024-02-01 18:22:30,18,3,"1",1
"20729",502076,502076002,5020760025,18,0,18,45,19357,11,1,2,45,"DOM",2024-02-01 18:00:00,2024-02-01 18:45:00,2024-02-01 18:22:30,18,3,"1",1
"20730",502082,502082001,5020820011,14,0,14,5,1716,1,2,1,5,"DOM",2024-02-01 14:00:00,2024-02-01 14:05:00,2024-02-01 14:02:30,14,3,"1",0
"20731",502082,502082001,5020820012,14,6,14,11,1716,63,2,1,5,"ACC",2024-02-01 14:06:00,2024-02-01 14:11:00,2024-02-01 14:08:30,14,3,"1",0
"20732",502082,502082002,5020820021,14,0,14,6,1716,1,2,1,6,"DOM",2024-02-01 14:00:00,2024-02-01 14:06:00,2024-02-01 14:03:00,14,3,"1",0
"20733",502082,502082002,5020820022,14,45,15,0,870,33,2,1,15,"SHO",2024-02-01 14:45:00,2024-02-01 15:00:00,2024-02-01 14:52:30,14,3,"1",0
"20734",502082,502082002,5020820023,15,30,16,0,1739,33,2,1,30,"SHO",2024-02-01 15:30:00,2024-02-01 16:00:00,2024-02-01 15:45:00,15,3,"1",0
"20735",502084,502084001,5020840011,8,0,8,20,11386,1,3,2,20,"DOM",2024-02-01 08:00:00,2024-02-01 08:20:00,2024-02-01 08:10:00,8,5,"2",1
"20736",502084,502084001,5020840012,12,0,12,20,11386,11,3,2,20,"DOM",2024-02-01 12:00:00,2024-02-01 12:20:00,2024-02-01 12:10:00,12,5,"2",0
"20737",502084,502084001,5020840013,14,0,14,20,11386,1,3,2,20,"DOM",2024-02-01 14:00:00,2024-02-01 14:20:00,2024-02-01 14:10:00,14,5,"2",0
"20738",502084,502084001,5020840014,19,0,19,20,11386,11,3,2,20,"DOM",2024-02-01 19:00:00,2024-02-01 19:20:00,2024-02-01 19:10:00,19,5,"2",0
"20739",502084,502084002,5020840021,7,40,7,50,2126,1,3,2,10,"DOM",2024-02-01 07:40:00,2024-02-01 07:50:00,2024-02-01 07:45:00,7,5,"2",1
"20740",502084,502084002,5020840022,7,50,7,55,3480,63,3,2,5,"ACC",2024-02-01 07:50:00,2024-02-01 07:55:00,2024-02-01 07:52:30,7,5,"2",1
"20741",502084,502084002,5020840023,12,30,12,33,1449,11,3,2,3,"DOM",2024-02-01 12:30:00,2024-02-01 12:33:00,2024-02-01 12:31:30,12,5,"2",0
"20742",502084,502084002,5020840024,13,15,13,18,1449,1,3,2,3,"DOM",2024-02-01 13:15:00,2024-02-01 13:18:00,2024-02-01 13:16:30,13,5,"2",0
"20743",502084,502084002,5020840025,18,0,18,5,1968,11,3,2,5,"DOM",2024-02-01 18:00:00,2024-02-01 18:05:00,2024-02-01 18:02:30,18,5,"2",1
"20744",502084,502084002,5020840026,18,30,18,40,1668,62,3,2,10,"ACC",2024-02-01 18:30:00,2024-02-01 18:40:00,2024-02-01 18:35:00,18,5,"2",1
